# extracted from cty_wt_mod.dat on Sat Jan 31 07:33:02 2026Z
# prefix     lat+N   lng+E  DXCC
3K0K         29.42   90.97  318
3K0L         29.42   90.97  318
3K1          39.93  116.40  318
3K2A         45.80  126.67  318
3K2B         45.80  126.67  318
3K2C         45.80  126.67  318
3K2D         45.80  126.67  318
3K2E         45.80  126.67  318
3K2F         45.80  126.67  318
3K2G         45.80  126.67  318
3K2H         45.80  126.67  318
3K2I         43.95  125.28  318
3K2J         43.95  125.28  318
3K2K         43.95  125.28  318
3K2L         43.95  125.28  318
3K2M         43.95  125.28  318
3K2N         43.95  125.28  318
3K2O         43.95  125.28  318
3K2P         43.95  125.28  318
3K2Q         41.80  123.45  318
3K2R         41.80  123.45  318
3K2S         41.80  123.45  318
3K2T         41.80  123.45  318
3K2U         41.80  123.45  318
3K2V         41.80  123.45  318
3K2W         41.80  123.45  318
3K2X         41.80  123.45  318
3K3A         39.13  117.17  318
3K3B         39.13  117.17  318
3K3C         39.13  117.17  318
3K3D         39.13  117.17  318
3K3E         39.13  117.17  318
3K3F         39.13  117.17  318
3K3G         40.87  111.67  318
3K3H         40.87  111.67  318
3K3I         40.87  111.67  318
3K3J         40.87  111.67  318
3K3K         40.87  111.67  318
3K3L         40.87  111.67  318
3K3M         38.03  114.47  318
3K3N         38.03  114.47  318
3K3O         38.03  114.47  318
3K3P         38.03  114.47  318
3K3Q         38.03  114.47  318
3K3R         38.03  114.47  318
3K3S         37.87  112.55  318
3K3T         37.87  112.55  318
3K3U         37.87  112.55  318
3K3V         37.87  112.55  318
3K3W         37.87  112.55  318
3K3X         37.87  112.55  318
3K4A         31.25  121.43  318
3K4B         31.25  121.43  318
3K4C         31.25  121.43  318
3K4D         31.25  121.43  318
3K4E         31.25  121.43  318
3K4F         31.25  121.43  318
3K4G         31.25  121.43  318
3K4H         31.25  121.43  318
3K4I         36.63  117.02  318
3K4J         36.63  117.02  318
3K4K         36.63  117.02  318
3K4L         36.63  117.02  318
3K4M         36.63  117.02  318
3K4N         36.63  117.02  318
3K4O         36.63  117.02  318
3K4P         36.63  117.02  318
3K4Q         32.03  118.78  318
3K4R         32.03  118.78  318
3K4S         32.03  118.78  318
3K4T         32.03  118.78  318
3K4U         32.03  118.78  318
3K4V         32.03  118.78  318
3K4W         32.03  118.78  318
3K4X         32.03  118.78  318
3K5A         30.30  120.18  318
3K5B         30.30  120.18  318
3K5C         30.30  120.18  318
3K5D         30.30  120.18  318
3K5E         30.30  120.18  318
3K5F         30.30  120.18  318
3K5G         30.30  120.18  318
3K5H         30.30  120.18  318
3K5I         30.72  106.03  318
3K5J         30.72  106.03  318
3K5K         30.72  106.03  318
3K5L         30.72  106.03  318
3K5M         30.72  106.03  318
3K5N         30.72  106.03  318
3K5O         30.72  106.03  318
3K5P         30.72  106.03  318
3K5Q         26.08  119.27  318
3K5R         26.08  119.27  318
3K5S         26.08  119.27  318
3K5T         26.08  119.27  318
3K5U         26.08  119.27  318
3K5V         26.08  119.27  318
3K5W         26.08  119.27  318
3K5X         26.08  119.27  318
3K6A         31.87  117.30  318
3K6B         31.87  117.30  318
3K6C         31.87  117.30  318
3K6D         31.87  117.30  318
3K6E         31.87  117.30  318
3K6F         31.87  117.30  318
3K6G         31.87  117.30  318
3K6H         31.87  117.30  318
3K6I         34.75  113.57  318
3K6J         34.75  113.57  318
3K6K         34.75  113.57  318
3K6L         34.75  113.57  318
3K6M         34.75  113.57  318
3K6N         34.75  113.57  318
3K6O         34.75  113.57  318
3K6P         34.75  113.57  318
3K6Q         30.52  114.30  318
3K6R         30.52  114.30  318
3K6S         30.52  114.30  318
3K6T         30.52  114.30  318
3K6U         30.52  114.30  318
3K6V         30.52  114.30  318
3K6W         30.52  114.30  318
3K6X         30.52  114.30  318
3K7A         28.20  113.00  318
3K7B         28.20  113.00  318
3K7C         28.20  113.00  318
3K7D         28.20  113.00  318
3K7E         28.20  113.00  318
3K7F         28.20  113.00  318
3K7G         28.20  113.00  318
3K7H         28.20  113.00  318
3K7I         23.08  113.17  318
3K7J         23.08  113.17  318
3K7K         23.08  113.17  318
3K7L         23.08  113.17  318
3K7M         23.08  113.17  318
3K7N         23.08  113.17  318
3K7O         23.08  113.17  318
3K7P         23.08  113.17  318
3K7Q         22.80  108.33  318
3K7R         22.80  108.33  318
3K7S         22.80  108.33  318
3K7T         22.80  108.33  318
3K7U         22.80  108.33  318
3K7V         22.80  108.33  318
3K7W         22.80  108.33  318
3K7X         22.80  108.33  318
3K7Y         20.02  110.27  318
3K8A         30.63  104.03  318
3K8B         30.63  104.03  318
3K8C         30.63  104.03  318
3K8D         30.63  104.03  318
3K8E         30.63  104.03  318
3K8F         30.63  104.03  318
3K8G         29.58  106.42  318
3K8H         29.58  106.42  318
3K8I         29.58  106.42  318
3K8J         29.58  106.42  318
3K8K         29.58  106.42  318
3K8L         29.58  106.42  318
3K8M         26.53  106.67  318
3K8N         26.53  106.67  318
3K8O         26.53  106.67  318
3K8P         26.53  106.67  318
3K8Q         26.53  106.67  318
3K8R         26.53  106.67  318
3K8S         25.02  102.68  318
3K8T         25.02  102.68  318
3K8U         25.02  102.68  318
3K8V         25.02  102.68  318
3K8W         25.02  102.68  318
3K8X         25.02  102.68  318
3K9A         34.25  109.00  318
3K9B         34.25  109.00  318
3K9C         34.25  109.00  318
3K9D         34.25  109.00  318
3K9E         34.25  109.00  318
3K9F         34.25  109.00  318
3K9G         36.02  103.87  318
3K9H         36.02  103.87  318
3K9I         36.02  103.87  318
3K9J         36.02  103.87  318
3K9K         36.02  103.87  318
3K9L         36.02  103.87  318
3K9M         38.50  106.25  318
